Index,Name,BoroCD,Pop2010,Pop2013,EduPop,CD_Area,Grass,Trees,Green Space,Green Space Per Person,Vulnerable Age,Poverty,Education,Pollution,Overweight,Exercise,Asthma,Distance to Parks
63,Brooklyn - 56 (Park),356,1480,1797,1276,133607573.7,0.508483,0.107807,0.616291,55635.90894,0.364189,0.119087,0.395768,8.507797,0.694148,0.598232,0.117125,4.988764
50,Queens - 1,401,191105,175231,136402,171536957.2,0.11319,0.117812,0.231003,207.3496336,0.266047,0.17857,0.401189,10.168298,0.512717,0.778548,0.107853,12.562291
51,Queens - 2,402,111516,107598,81198,139894053.6,0.158407,0.085075,0.243482,305.4421246,0.278067,0.133004,0.387829,11.347566,0.516923,0.765571,0.090376,6.729044
32,Queens - 3,403,171081,166670,113755,82993707.67,0.077677,0.165053,0.24273,117.7516069,0.320579,0.200029,0.571719,10.235931,0.556,0.726,0.079,8.579776
2,Queens - 4,404,174905,170659,118409,65635086.63,0.060319,0.128026,0.188345,70.67859919,0.312232,0.218423,0.557178,10.762975,0.555624,0.726248,0.078917,6.158223
53,Queens - 5,405,168376,166179,115899,210364584.3,0.21392,0.176055,0.389976,487.2258465,0.337714,0.145926,0.503257,10.00121,0.518441,0.750747,0.070805,4.175667
6,Queens - 6,406,113943,113452,88082,82685580.01,0.109747,0.250669,0.360416,261.5448602,0.338476,0.09716,0.251402,10.165342,0.50657,0.758585,0.068158,7.173608
60,Queens - 7,407,245124,242846,182313,328432210.3,0.185676,0.194243,0.379919,509.0388412,0.33625,0.147628,0.462325,9.620574,0.369549,0.693138,0.055602,7.929961
31,Queens - 8,408,152767,148698,104853,207578671.8,0.184442,0.312042,0.496485,674.6201528,0.343483,0.155052,0.32948,9.521794,0.538282,0.755948,0.073463,7.168214
17,Queens - 9,409,141994,146980,96808,107150375.8,0.097278,0.176551,0.273829,206.6346484,0.33176,0.14702,0.475818,9.64559,0.656468,0.75478,0.113771,7.687868
33,Queens - 10,410,123191,131962,90301,171377895.7,0.184071,0.140668,0.324739,451.7626,0.347054,0.11504,0.527292,9.409939,0.65448,0.755042,0.11212,7.290788
46,Queens - 11,411,118661,121464,89673,261007384.2,0.198184,0.308249,0.506433,1113.952795,0.35893,0.079307,0.31442,9.288128,0.480957,0.747854,0.073244,5.763411
30,Queens - 12,412,223396,227559,151356,267332722.4,0.149151,0.172046,0.321198,384.3700683,0.358497,0.160362,0.455257,9.779967,0.59797,0.756883,0.070486,6.381451
47,Queens - 13,413,189456,199996,138966,350415325.5,0.21729,0.194348,0.411639,761.3620798,0.358389,0.085426,0.374523,9.267655,0.589301,0.772002,0.072837,8.958588
49,Queens - 14,414,114961,112014,73525,195797593.6,0.224379,0.102284,0.326663,556.3611078,0.400222,0.208554,0.444719,8.930867,0.719,0.804,0.138,7.695266
24,Queens - 80 (Airport),480,0,0,0,32722466.81,0.141517,0.044165,0.185683,0,0,0,0,10.092847,0.522142,0.760285,0.088857,27.479311
48,Queens - 81 (Park),481,56,29,73,48084230.77,0.249657,0.175277,0.424934,364868.295,0.017857,0,0.547945,9.631648,0.435613,0.716825,0.065105,2.86269
54,Queens - 82 (Park),482,1264,1358,1116,24494796.72,0.122368,0.769726,0.892095,17287.72601,0.29905,0.111929,0.279569,8.94358,0.506,0.759,0.068,0.642258
29,Queens - 83 (Airport),483,0,0,0,191559319,0.284658,0.022245,0.306904,0,0,0,0,9.935751,0.598,0.756,0.07,29.306688
61,Queens - 84 (Park),484,17,15,15,127575367.7,0.463498,0.118245,0.581744,4365659.1,0.352941,0,0.6,8.48051,0.718539,0.803635,0.137821,5.09406
45,Staten Island - 1,501,175756,170377,110463,376963045,0.186954,0.259374,0.446329,957.290442,0.360676,0.195595,0.422494,9.367282,0.626149,0.77122,0.114145,7.013304
62,Staten Island - 2,502,132359,130180,93397,593169363.8,0.32176,0.284617,0.606378,2717.494484,0.361547,0.092633,0.401875,9.036475,0.634622,0.791797,0.130485,10.34707
70,Staten Island - 3,503,159853,162341,113599,598984432.8,0.24973,0.327588,0.577319,2163.26934,0.356715,0.058962,0.383762,8.990781,0.638,0.8,0.137,8.314825
71,Staten Island - 95 (Park),595,762,787,457,54732356.7,0.494309,0.169128,0.663438,47652.9203,0.364829,0,0.218818,8.777272,0.633481,0.789026,0.128285,1.505558
100,New York City,1000,8174473,8134626,5640351,8433396300,0.18041813,0.202821707,0.383240445,395.379439,0.337756691,0.203293941,0.412456994,9.876939,,,,
